TEAM_ID,SEASON,GP_non_clutch,GP_clutch,WINS_non_clutch,WINS_clutch,WIN_PCT_non_clutch,WIN_PCT_clutch,TEAM_NAME
1610612739,2017,77.0,32.0,41.0,22.0,0.5324675324675324,0.6875,Cleveland Cavaliers
1610612739,2018,73.0,13.0,14.0,7.0,0.1917808219178082,0.5384615384615384,Cleveland Cavaliers
1610612739,2019,53.0,15.0,13.0,6.0,0.24528301886792453,0.4,Cleveland Cavaliers
1610612739,2020,65.0,12.0,17.0,7.0,0.26153846153846155,0.5833333333333334,Cleveland Cavaliers
1610612739,2021,60.0,29.0,31.0,15.0,0.5166666666666667,0.5172413793103449,Cleveland Cavaliers
1610612739,2022,29.0,8.0,21.0,2.0,0.7241379310344828,0.25,Cleveland Cavaliers
1610612740,2003,68.0,29.0,38.0,12.0,0.5588235294117647,0.41379310344827586,New Orleans Pelicans
1610612740,2004,56.0,29.0,8.0,10.0,0.14285714285714285,0.3448275862068966,New Orleans Pelicans
1610612740,2005,66.0,23.0,26.0,14.0,0.3939393939393939,0.6086956521739131,New Orleans Pelicans
1610612740,2006,61.0,28.0,26.0,15.0,0.4262295081967213,0.5357142857142857,New Orleans Pelicans
1610612740,2007,79.0,22.0,50.0,16.0,0.6329113924050633,0.7272727272727273,New Orleans Pelicans
1610612740,2008,71.0,23.0,40.0,17.0,0.5633802816901409,0.7391304347826086,New Orleans Pelicans
1610612740,2009,65.0,25.0,23.0,16.0,0.35384615384615387,0.64,New Orleans Pelicans
1610612740,2010,68.0,28.0,33.0,16.0,0.4852941176470588,0.5714285714285714,New Orleans Pelicans
1610612740,2011,50.0,18.0,16.0,7.0,0.32,0.3888888888888889,New Orleans Pelicans
1610612740,2012,63.0,27.0,21.0,10.0,0.3333333333333333,0.37037037037037035,New Orleans Pelicans
1610612740,2013,59.0,31.0,21.0,20.0,0.3559322033898305,0.6451612903225806,New Orleans Pelicans
1610612740,2014,67.0,26.0,34.0,16.0,0.5074626865671642,0.6153846153846154,New Orleans Pelicans
1610612740,2015,64.0,25.0,21.0,12.0,0.328125,0.48,New Orleans Pelicans
1610612740,2016,64.0,24.0,23.0,12.0,0.359375,0.5,New Orleans Pelicans
1610612740,2017,68.0,27.0,37.0,17.0,0.5441176470588235,0.6296296296296297,New Orleans Pelicans
1610612740,2018,59.0,28.0,21.0,12.0,0.3559322033898305,0.42857142857142855,New Orleans Pelicans
1610612740,2019,60.0,20.0,31.0,7.0,0.5166666666666667,0.35,New Orleans Pelicans
1610612740,2020,48.0,29.0,23.0,12.0,0.4791666666666667,0.41379310344827586,New Orleans Pelicans
1610612740,2021,74.0,20.0,31.0,10.0,0.4189189189189189,0.5,New Orleans Pelicans
1610612740,2022,26.0,10.0,18.0,5.0,0.6923076923076923,0.5,New Orleans Pelicans
1610612741,2003,73.0,17.0,19.0,7.0,0.2602739726027397,0.4117647058823529,Chicago Bulls
1610612741,2004,61.0,30.0,34.0,16.0,0.5573770491803278,0.5333333333333333,Chicago Bulls
1610612741,2005,64.0,32.0,32.0,14.0,0.5,0.4375,Chicago Bulls
1610612741,2006,70.0,30.0,46.0,15.0,0.6571428571428571,0.5,Chicago Bulls
1610612741,2007,73.0,16.0,29.0,8.0,0.3972602739726027,0.5,Chicago Bulls
1610612741,2008,69.0,28.0,34.0,14.0,0.4927536231884058,0.5,Chicago Bulls
1610612741,2009,69.0,26.0,32.0,16.0,0.463768115942029,0.6153846153846154,Chicago Bulls
1610612741,2010,75.0,31.0,56.0,19.0,0.7466666666666667,0.6129032258064516,Chicago Bulls
1610612741,2011,56.0,18.0,44.0,10.0,0.7857142857142857,0.5555555555555556,Chicago Bulls
1610612741,2012,66.0,35.0,36.0,19.0,0.5454545454545454,0.5428571428571428,Chicago Bulls
1610612741,2013,70.0,25.0,42.0,15.0,0.6,0.6,Chicago Bulls
1610612741,2014,74.0,28.0,45.0,15.0,0.6081081081081081,0.5357142857142857,Chicago Bulls
1610612741,2015,60.0,30.0,26.0,20.0,0.43333333333333335,0.6666666666666666,Chicago Bulls
1610612741,2016,71.0,24.0,34.0,12.0,0.4788732394366197,0.5,Chicago Bulls
1610612741,2017,63.0,25.0,17.0,13.0,0.2698412698412698,0.52,Chicago Bulls
1610612741,2018,64.0,23.0,15.0,9.0,0.234375,0.391304347826087,Chicago Bulls
1610612741,2019,53.0,17.0,17.0,7.0,0.32075471698113206,0.4117647058823529,Chicago Bulls
1610612741,2020,58.0,20.0,28.0,6.0,0.4827586206896552,0.3,Chicago Bulls
1610612741,2021,67.0,24.0,36.0,15.0,0.5373134328358209,0.625,Chicago Bulls
1610612741,2022,23.0,12.0,13.0,3.0,0.5652173913043478,0.25,Chicago Bulls
1610612742,2003,71.0,24.0,47.0,10.0,0.6619718309859155,0.4166666666666667,Dallas Mavericks
1610612742,2004,68.0,31.0,47.0,19.0,0.6911764705882353,0.6129032258064516,Dallas Mavericks
1610612742,2005,79.0,34.0,60.0,20.0,0.759493670886076,0.5882352941176471,Dallas Mavericks
1610612742,2006,67.0,29.0,50.0,22.0,0.746268656716418,0.7586206896551724,Dallas Mavericks
1610612742,2007,71.0,24.0,47.0,10.0,0.6619718309859155,0.4166666666666667,Dallas Mavericks
1610612742,2008,73.0,27.0,40.0,19.0,0.547945205479452,0.7037037037037037,Dallas Mavericks
1610612742,2009,68.0,27.0,44.0,18.0,0.6470588235294118,0.6666666666666666,Dallas Mavericks
